* description: Edge-area closure Form 3b cluster fixed-effect intercepts
* unit: 1 (log10 scale)
* note: Form 3b: log10(E) = alpha_j + 0.8275597*log10(A) + 0.1806961*p + -1.2761439*p^2
* origin: tasks/pipeline/06_export_for_magpie.R from closure_comparison.rds
* creation date: Sun Feb 15 13:16:13 2026
CAZ_1,1.793377
CAZ_2,1.8688269
CAZ_3,1.8360422
CAZ_4,1.8357414
CAZ_5,1.8250456
CHA_10,1.7531819
CHA_11,1.7698469
CHA_12,1.7662236
CHA_13,1.69287
CHA_14,1.728744
CHA_15,1.9020337
CHA_16,1.7461075
CHA_17,1.9209575
CHA_18,1.8567644
CHA_19,1.9395606
CHA_20,2.0123949
CHA_21,1.8684492
CHA_22,1.7552223
CHA_23,1.9021533
CHA_24,1.8072452
CHA_6,1.9238918
CHA_7,0
CHA_8,1.9138658
CHA_9,1.7918946
EUR_25,1.7393274
EUR_26,1.8030446
EUR_27,1.6973176
EUR_28,1.8269351
EUR_29,1.7977884
EUR_30,1.784959
EUR_31,1.7649747
EUR_32,1.6328802
EUR_33,1.7010419
EUR_34,1.8949564
EUR_35,1.9021124
EUR_36,1.8697907
IND_37,1.8934486
IND_38,1.884813
IND_39,2.0484144
IND_40,1.9009145
IND_41,1.80273
IND_42,2.071157
IND_43,1.8120332
IND_44,1.9135502
IND_45,1.968041
IND_46,1.8136064
IND_47,1.9335239
IND_48,1.6030268
JPN_49,1.5190838
JPN_50,1.1535146
JPN_51,1.4171492
JPN_52,1.3662048
JPN_53,1.4669219
JPN_54,1.5246525
JPN_55,1.7018398
LAM_56,1.7641736
LAM_57,1.8067805
LAM_58,1.7723988
LAM_59,1.8753236
LAM_60,1.7600795
LAM_61,1.8748803
LAM_62,1.8096986
LAM_63,1.6256054
LAM_64,1.2107188
LAM_65,1.8207656
LAM_66,0.8105037
LAM_67,1.3602835
LAM_68,0.9437993
LAM_69,1.764952
LAM_70,1.6696771
LAM_71,1.7018875
LAM_72,1.8065676
LAM_73,1.7908377
LAM_74,1.9064135
LAM_75,1.7151544
LAM_76,1.7184594
LAM_77,1.7949895
LAM_78,1.8388775
LAM_79,0.965003
LAM_80,1.6336179
LAM_81,1.8143431
LAM_82,1.5710082
LAM_83,1.7093611
LAM_84,1.8057937
LAM_85,1.7429044
LAM_86,1.7434053
LAM_87,1.8159762
LAM_88,1.8035974
MEA_100,1.8353206
MEA_101,1.8575425
MEA_102,1.7210993
MEA_103,0
MEA_104,1.7957441
MEA_105,1.7750929
MEA_106,1.7278415
MEA_107,1.7636323
MEA_108,1.7145963
MEA_109,1.7384249
MEA_110,1.731099
MEA_111,1.7487424
MEA_112,1.827724
MEA_113,1.7649728
MEA_89,1.7750211
MEA_90,1.9487547
MEA_91,1.7653172
MEA_92,1.7295827
MEA_93,1.7695369
MEA_94,1.9641855
MEA_95,1.8589861
MEA_96,1.9519139
MEA_97,0
MEA_98,1.9726645
MEA_99,1.6951717
NEU_114,0
NEU_115,0
NEU_116,1.7505469
NEU_117,1.7869206
NEU_118,1.7938701
NEU_119,0
NEU_120,0
NEU_121,1.7930172
OAS_122,1.7299617
OAS_123,1.8129657
OAS_124,1.7989261
OAS_125,1.0223784
OAS_126,1.7487768
OAS_127,0
OAS_128,1.7213419
OAS_129,1.8798402
OAS_130,1.6933946
OAS_131,1.7438593
OAS_132,1.3630271
OAS_133,1.4259533
OAS_134,1.9727177
OAS_135,1.8184738
OAS_136,1.9694354
OAS_137,1.8669343
REF_138,1.8680258
REF_139,1.7785825
REF_140,1.6839385
REF_141,1.8125941
REF_142,1.7849461
REF_143,1.6729378
REF_144,1.764365
REF_145,1.6710987
REF_146,1.7872977
REF_147,1.8173666
REF_148,1.8611433
REF_149,1.7978094
SSA_150,1.9431496
SSA_151,1.6200976
SSA_152,1.6511087
SSA_153,1.6318492
SSA_154,1.9346993
SSA_155,1.7641597
SSA_156,1.9053031
SSA_157,1.5813462
SSA_158,1.9315359
SSA_159,1.9681316
SSA_160,1.187647
SSA_161,1.9328831
SSA_162,1.8867937
SSA_163,1.9448976
SSA_164,1.8018631
SSA_165,1.9175607
SSA_166,0
SSA_167,1.9845116
SSA_168,1.8214915
SSA_169,1.9761814
SSA_170,1.8911774
SSA_171,1.9232714
SSA_172,1.9104413
SSA_173,2.0159821
SSA_174,1.8769925
SSA_175,2.1102288
SSA_176,1.7500324
SSA_177,1.9355356
SSA_178,2.0176379
SSA_179,1.7696878
SSA_180,1.7966954
SSA_181,1.5529154
SSA_182,1.8557726
USA_183,1.8429174
USA_184,1.7898306
USA_185,1.9378262
USA_186,1.7324463
USA_187,1.8861858
USA_188,1.853132
USA_189,1.8815249
USA_190,1.7260489
USA_191,1.8230837
USA_192,1.8184365
USA_193,1.8470733
USA_194,1.820859
USA_195,1.4487872
USA_196,1.8855887
USA_197,1.8196429
USA_198,1.7346115
USA_199,1.8401791
USA_200,1.8102468
